TestID,Platform,GPU,Case,B,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
183,ROCm,Graphics,GPT-OSS-20B-GateUP,4,1024,5760,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
184,ROCm,Graphics,GPT-OSS-20B-Down,4,1024,2880,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
185,ROCm,Graphics,GPT-OSS-20B-GateUP,4,2048,5760,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
186,ROCm,Graphics,GPT-OSS-20B-Down,4,2048,2880,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
187,ROCm,Graphics,GPT-OSS-20B-GateUP,4,4096,5760,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
188,ROCm,Graphics,GPT-OSS-20B-Down,4,4096,2880,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
189,ROCm,Graphics,GPT-OSS-20B-GateUP,4,8192,5760,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
190,ROCm,Graphics,GPT-OSS-20B-Down,4,8192,2880,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
191,ROCm,Graphics,GPT-OSS-20B-GateUP,4,16384,5760,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
192,ROCm,Graphics,GPT-OSS-20B-Down,4,16384,2880,2880,bf16,ERROR,ERROR,0.00,ERROR,0.00
193,ROCm,Graphics,Qwen3-30B-A3B-GateUP,4,512,4096,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
194,ROCm,Graphics,Qwen3-30B-A3B-Down,4,512,2048,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
195,ROCm,Graphics,Qwen3-30B-A3B-GateUP,4,1024,4096,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
196,ROCm,Graphics,Qwen3-30B-A3B-Down,4,1024,2048,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
197,ROCm,Graphics,Qwen3-30B-A3B-GateUP,4,2048,4096,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
198,ROCm,Graphics,Qwen3-30B-A3B-Down,4,2048,2048,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
199,ROCm,Graphics,Qwen3-30B-A3B-GateUP,4,4096,4096,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
200,ROCm,Graphics,Qwen3-30B-A3B-Down,4,4096,2048,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
201,ROCm,Graphics,Qwen3-30B-A3B-GateUP,4,8192,4096,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
202,ROCm,Graphics,Qwen3-30B-A3B-Down,4,8192,2048,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
